State,County,Year_detected
Pennsylvania,Centre,2010
Pennsylvania,Clarion,2010
Pennsylvania,Clearfield,2013
Pennsylvania,Clinton,2012
Pennsylvania,Columbia,2013
Pennsylvania,Crawford,2014
Pennsylvania,Cumberland,2010
Pennsylvania,Dauphin,2013
Pennsylvania,Elk,2013
Pennsylvania,Erie,2013
Pennsylvania,Fayette,2013
Pennsylvania,Forest,2013
Pennsylvania,Franklin,2012
Pennsylvania,Fulton,2010
Pennsylvania,Greene,2014
Pennsylvania,Huntingdon,2011
Pennsylvania,Indiana,2009
Pennsylvania,Jefferson,2012
Pennsylvania,Juniata,2009
Pennsylvania,Lawrence,2009
Pennsylvania,Lebanon,2014
Pennsylvania,Luzerne,2013
Pennsylvania,Lycoming,2011
Pennsylvania,Mercer,2008
Pennsylvania,Mifflin,2009
Pennsylvania,Montgomery,2013
Pennsylvania,Montour,2012
Pennsylvania,Northumberland,2012
Pennsylvania,Perry,2012
Pennsylvania,Potter,2013
Pennsylvania,Schuylkill,2014
Pennsylvania,Snyder,2012
Pennsylvania,Somerset,2010
Pennsylvania,Sullivan,2011
Pennsylvania,Susquehanna,2014
Pennsylvania,Tioga,2013
Pennsylvania,Union,2010
Pennsylvania,Venango,2012
Pennsylvania,Warren,2013
Pennsylvania,Washington,2009
Pennsylvania,Westmoreland,2009
Pennsylvania,Wyoming,2011
Pennsylvania,York,2014
Quebec / Québec,Antoine-Labelle,2014
Quebec / Québec,Gatineau,2011
Quebec / Québec,L'Islet,2019
Quebec / Québec,La Haute-Yamaska,2013
Quebec / Québec,La Vallée-de-la-Gatineau,2013
Quebec / Québec,La Vallée-du-Richelieu,2013
Quebec / Québec,Lajemmerais,2013
Quebec / Québec,Laval,2012
Quebec / Québec,Le Haut-Richelieu,2013
Quebec / Québec,Les Collines-de-l'Outaouais,2012
Quebec / Québec,Les Moulins,2013
Quebec / Québec,Longueuil,2012
Quebec / Québec,Montréal,2011
Quebec / Québec,Papineau,2012
Quebec / Québec,Pontiac,2013
Quebec / Québec,Roussillon,2013
Quebec / Québec,Rouville,2013
Quebec / Québec,Thérése-De Blainville,2013
Rhode Island,Providence,2018
South Carolina,Anderson,2019
South Carolina,Pickens,2019
South Carolina,Spartanburg,2017
South Carolina,York,2019
South Dakota,Lincoln,2020
South Dakota,Minnehaha,2018
Tennessee,Anderson,2012
Tennessee,Blount,2011
Tennessee,Bradley,2019
Tennessee,Campbell,2012
Tennessee,Cannon,2020
Tennessee,Cannon,2019
Tennessee,Cheatham,2018
Tennessee,Claiborne,2011
Tennessee,Clay,2020
Tennessee,Cocke,2012
Tennessee,Coffee,2019
Tennessee,Davidson,2014
Tennessee,Dickson,2020
Tennessee,Fentress,2014
Tennessee,Giles,2018
Tennessee,Grainger,2011
Tennessee,Greene,2012
Tennessee,Grundy,2020
Tennessee,Hamblen,2012
Tennessee,Hamilton,2013
Tennessee,Hancock,2012
Tennessee,Hawkins,2012
Tennessee,Hickman,2020
Tennessee,Jackson,2013
Tennessee,Jefferson,2012
Tennessee,Johnson,2019
Tennessee,Knox,2010
Tennessee,Lewis,2020
Tennessee,Loudon,2010
Tennessee,Macon,2019
Tennessee,Maury,2018
Tennessee,McMinn,2014
Tennessee,Meigs,2019
Tennessee,Monroe,2012
Tennessee,Moore,2019
Tennessee,Morgan,2014
Tennessee,Overton,2019
Tennessee,Pickett,2019
Tennessee,Polk,2014
Tennessee,Putnam,2014
Tennessee,Rhea,2014
Tennessee,Roane,2012
Tennessee,Scott,2013
Tennessee,Sequatchie,2019
Tennessee,Sevier,2011
Tennessee,Smith,2012
Tennessee,Sullivan,2014
Tennessee,Union,2012
Tennessee,Warren,2020
Tennessee,Washington,2014
Texas,Bowie,2020
Texas,Cass,2018
Texas,Denton,2020
Texas,Harrison,2016
Texas,Marion,2018
Vermont,Addison,2019
Vermont,Bennington,2018
Vermont,Caledonia,2018
Vermont,Chittenden,2020
Vermont,Franklin,2020
Vermont,Grand Isle,2018
Vermont,Orange,2018
Vermont,Orleans,2019
Vermont,Rutland,2020
Vermont,Washington,2018
Vermont,Windham,2019
Virginia,Charles City,2019
Virginia,Newport News,2019
Virginia,Northumberland,2019
Virginia,Alleghany,2014
Virginia,Amelia,2018
Virginia,Bath,2014
Virginia,Brunswick,2019
Virginia,Buchanan,2012
Virginia,Caroline,2012
Virginia,Carroll,2018
Virginia,Charlotte,2012
Virginia,Chesterfield,2018
Virginia,Cumberland,2018
Virginia,Dickenson,2018
Virginia,Dinwiddie,2019
Virginia,Essex,2018
Virginia,Fairfax,2008
Virginia,Fauquier,2014
Virginia,Fluvanna,2018
Virginia,Frederick,2010
Virginia,Giles,2012
Virginia,Goochland,2018
Virginia,Greensville,2019
Virginia,Halifax,2012
Virginia,Hanover,2012
Virginia,Henrico,2019
Virginia,Henry,2018
Virginia,King and Queen,2019
Virginia,King George,2018
Virginia,King William,2019
Virginia,Lee,2012
Virginia,Loudoun,2012
Virginia,Louisa,2018
Virginia,Mecklenburg,2012
Virginia,New Kent,2019
Virginia,Page,2014
